Event H-ID,Text pointer H-ID,Text pointer RecordTitle
2360,25,Sunlight on a Broken Column
2362,25,Sunlight on a Broken Column
2364,25,Sunlight on a Broken Column
2366,25,Sunlight on a Broken Column
2367,25,Sunlight on a Broken Column
2368,25,Sunlight on a Broken Column
2370,25,Sunlight on a Broken Column
2371,25,Sunlight on a Broken Column
2373,25,Sunlight on a Broken Column
2375,28,Train to Pakistan
2377,25,Sunlight on a Broken Column
2386,28,Train to Pakistan
2390,28,Train to Pakistan
2392,25,Sunlight on a Broken Column
2421,34,Tamas
2424,34,Tamas
2427,34,Tamas
2433,34,Tamas
2444,34,Tamas
2445,34,Tamas
2446,34,Tamas
2452,34,Tamas
2454,34,Tamas
2457,34,Tamas
2460,34,Tamas
2463,34,Tamas
2464,34,Tamas
2466,34,Tamas
2468,34,Tamas
2470,34,Tamas
2471,34,Tamas
2474,34,Tamas
2475,34,Tamas
2478,34,Tamas
2480,34,Tamas
2484,34,Tamas
2489,34,Tamas
2490,34,Tamas
2493,34,Tamas
2496,34,Tamas
2498,34,Tamas
2500,34,Tamas
2501,34,Tamas
2503,34,Tamas
2505,34,Tamas
2511,34,Tamas
2515,34,Tamas
2518,34,Tamas
2521,34,Tamas
2524,34,Tamas
2525,34,Tamas
2526,34,Tamas
2528,28,Train to Pakistan
2529,28,Train to Pakistan
2530,28,Train to Pakistan
2531,28,Train to Pakistan
2532,28,Train to Pakistan
2533,34,Tamas
2535,28,Train to Pakistan
2537,28,Train to Pakistan
2542,28,Train to Pakistan
2543,34,Tamas
2545,25,Sunlight on a Broken Column
2546,34,Tamas
2548,34,Tamas
2550,34,Tamas
2551,25,Sunlight on a Broken Column
2555,34,Tamas
2560,34,Tamas
2561,34,Tamas
2562,34,Tamas
2570,25,Sunlight on a Broken Column
2575,34,Tamas
2578,25,Sunlight on a Broken Column
2579,34,Tamas
2582,34,Tamas
2583,34,Tamas
2585,34,Tamas
2588,34,Tamas
2593,34,Tamas
2596,34,Tamas
2600,25,Sunlight on a Broken Column
2601,34,Tamas
2602,25,Sunlight on a Broken Column
2606,34,Tamas
2610,34,Tamas
2611,34,Tamas
2615,34,Tamas
2617,34,Tamas
2619,34,Tamas
2621,34,Tamas
2623,34,Tamas
2626,34,Tamas
2629,34,Tamas
2636,34,Tamas
2639,34,Tamas
2640,34,Tamas
2641,34,Tamas
2646,34,Tamas
2648,34,Tamas
2651,34,Tamas
2652,34,Tamas
2658,34,Tamas
2662,34,Tamas
2663,34,Tamas
2669,34,Tamas
2671,34,Tamas
2673,34,Tamas
2678,34,Tamas
2685,34,Tamas
2688,28,Train to Pakistan
2689,28,Train to Pakistan
2691,28,Train to Pakistan
2692,28,Train to Pakistan
2693,28,Train to Pakistan
2694,28,Train to Pakistan
2696,28,Train to Pakistan
2697,28,Train to Pakistan
2698,28,Train to Pakistan
2699,28,Train to Pakistan
2700,28,Train to Pakistan
2701,28,Train to Pakistan
2703,28,Train to Pakistan
2705,28,Train to Pakistan
2706,28,Train to Pakistan
2707,28,Train to Pakistan
2709,28,Train to Pakistan
2710,28,Train to Pakistan
